😀	grinning	grinning,grinning_face
🧔🏿	bearded_person_tone5	bearded_person_tone5,bearded_person_dark_skin_tone
🧔‍♂️	man_beard	man_beard
🧔🏻‍♂️	man_tone1_beard	man_tone1_beard,man_light_skin_tone_beard
🧔🏼‍♂️	man_tone2_beard	man_tone2_beard,man_medium_light_skin_tone_beard
🧔🏽‍♂️	man_tone3_beard	man_tone3_beard,man_medium_skin_tone_beard
🧔🏾‍♂️	man_tone4_beard	man_tone4_beard,man_medium_dark_skin_tone_beard
🧔🏿‍♂️	man_tone5_beard	man_tone5_beard,man_dark_skin_tone_beard
🧔‍♀️	woman_beard	woman_beard
🧔🏻‍♀️	woman_tone1_beard	woman_tone1_beard,woman_light_skin_tone_beard
🧔🏼‍♀️	woman_tone2_beard	woman_tone2_beard,woman_medium_light_skin_tone_beard
🧔🏽‍♀️	woman_tone3_beard	woman_tone3_beard,woman_medium_skin_tone_beard
🧔🏾‍♀️	woman_tone4_beard	woman_tone4_beard,woman_medium_dark_skin_tone_beard
🧔🏿‍♀️	woman_tone5_beard	woman_tone5_beard,woman_dark_skin_tone_beard
👨‍🦰	man_red_haired	man_red_haired,man_red_hair
👨🏻‍🦰	man_red_haired_tone1	man_red_haired_tone1,man_red_haired_light_skin_tone
👨🏼‍🦰	man_red_haired_tone2	man_red_haired_tone2,man_red_haired_medium_light_skin_tone
👨🏽‍🦰	man_red_haired_tone3	man_red_haired_tone3,man_red_haired_medium_skin_tone
👨🏾‍🦰	man_red_haired_tone4	man_red_haired_tone4,man_red_haired_medium_dark_skin_tone
👨🏿‍🦰	man_red_haired_tone5	man_red_haired_tone5,man_red_haired_dark_skin_tone
👨‍🦱	man_curly_haired	man_curly_haired
👨🏻‍🦱	man_curly_haired_tone1	man_curly_haired_tone1,man_curly_haired_light_skin_tone
👨🏼‍🦱	man_curly_haired_tone2	man_curly_haired_tone2,man_curly_haired_medium_light_skin_tone
👨🏽‍🦱	man_curly_haired_tone3	man_curly_haired_tone3,man_curly_haired_medium_skin_tone
👨🏾‍🦱	man_curly_haired_tone4	man_curly_haired_tone4,man_curly_haired_medium_dark_skin_tone
👨🏿‍🦱	man_curly_haired_tone5	man_curly_haired_tone5,man_curly_haired_dark_skin_tone
👨‍🦳	man_white_haired	man_white_haired
👨🏻‍🦳	man_white_haired_tone1	man_white_haired_tone1,man_white_haired_light_skin_tone
👨🏼‍🦳	man_white_haired_tone2	man_white_haired_tone2,man_white_haired_medium_light_skin_tone
👨🏽‍🦳	man_white_haired_tone3	man_white_haired_tone3,man_white_haired_medium_skin_tone
👨🏾‍🦳	man_white_haired_tone4	man_white_haired_tone4,man_white_haired_medium_dark_skin_tone
👨🏿‍🦳	man_white_haired_tone5	man_white_haired_tone5,man_white_haired_dark_skin_tone
👨‍🦲	man_bald	man_bald
👨🏻‍🦲	man_bald_tone1	man_bald_tone1,man_bald_light_skin_tone
👨🏼‍🦲	man_bald_tone2	man_bald_tone2,man_bald_medium_light_skin_tone
👨🏽‍🦲	man_bald_tone3	man_bald_tone3,man_bald_medium_skin_tone
👨🏾‍🦲	man_bald_tone4	man_bald_tone4,man_bald_medium_dark_skin_tone
👨🏿‍🦲	man_bald_tone5	man_bald_tone5,man_bald_dark_skin_tone
👩	woman	woman
👩🏻	woman_tone1	woman_tone1
👩🏼	woman_tone2	woman_tone2
👩🏽	woman_tone3	woman_tone3
👩🏾	woman_tone4	woman_tone4
👩🏿	woman_tone5	woman_tone5
👩‍🦰	woman_red_haired	woman_red_haired
👩🏻‍🦰	woman_red_haired_tone1	woman_red_haired_tone1,woman_red_haired_light_skin_tone
👩🏼‍🦰	woman_red_haired_tone2	woman_red_haired_tone2,woman_red_haired_medium_light_skin_tone
👩🏽‍🦰	woman_red_haired_tone3	woman_red_haired_tone3,woman_red_haired_medium_skin_tone
👩🏾‍🦰	woman_red_haired_tone4	woman_red_haired_tone4,woman_red_haired_medium_dark_skin_tone
👩🏿‍🦰	woman_red_haired_tone5	woman_red_haired_tone5,woman_red_haired_dark_skin_tone
🧑‍🦰	person_red_hair	person_red_hair
🧑🏻‍🦰	person_tone1_red_hair	person_tone1_red_hair,person_light_skin_tone_red_hair
🧑🏼‍🦰	person_tone2_red_hair	person_tone2_red_hair,person_medium_light_skin_tone_red_hair
🧑🏽‍🦰	person_tone3_red_hair	person_tone3_red_hair,person_medium_skin_tone_red_hair
🧑🏾‍🦰	person_tone4_red_hair	person_tone4_red_hair,person_medium_dark_skin_tone_red_hair
🧑🏿‍🦰	person_tone5_red_hair	person_tone5_red_hair,person_dark_skin_tone_red_hair
👩‍🦱	woman_curly_haired	woman_curly_haired
👩🏻‍🦱	woman_curly_haired_tone1	woman_curly_haired_tone1,woman_curly_haired_light_skin_tone
👩🏼‍🦱	woman_curly_haired_tone2	woman_curly_haired_tone2,woman_curly_haired_medium_light_skin_tone
👩🏽‍🦱	woman_curly_haired_tone3	woman_curly_haired_tone3,woman_curly_haired_medium_skin_tone
👩🏾‍🦱	woman_curly_haired_tone4	woman_curly_haired_tone4,woman_curly_haired_medium_dark_skin_tone
👩🏿‍🦱	woman_curly_haired_tone5	woman_curly_haired_tone5,woman_curly_haired_dark_skin_tone
🧑‍🦱	person_curly_hair	person_curly_hair
🧑🏻‍🦱	person_tone1_curly_hair	person_tone1_curly_hair,person_light_skin_tone_curly_hair
🧑🏼‍🦱	person_tone2_curly_hair	person_tone2_curly_hair,person_medium_light_skin_tone_curly_hair
🧑🏽‍🦱	person_tone3_curly_hair	person_tone3_curly_hair,person_medium_skin_tone_curly_hair
🧑🏾‍🦱	person_tone4_curly_hair	person_tone4_curly_hair,person_medium_dark_skin_tone_curly_hair
🧑🏿‍🦱	person_tone5_curly_hair	person_tone5_curly_hair,person_dark_skin_tone_curly_hair
👩‍🦳	woman_white_haired	woman_white_haired
👩🏻‍🦳	woman_white_haired_tone1	woman_white_haired_tone1,woman_white_haired_light_skin_tone
👩🏼‍🦳	woman_white_haired_tone2	woman_white_haired_tone2,woman_white_haired_medium_light_skin_tone
👩🏽‍🦳	woman_white_haired_tone3	woman_white_haired_tone3,woman_white_haired_medium_skin_tone
👩🏾‍🦳	woman_white_haired_tone4	woman_white_haired_tone4,woman_white_haired_medium_dark_skin_tone
👩🏿‍🦳	woman_white_haired_tone5	woman_white_haired_tone5,woman_white_haired_dark_skin_tone
🧑‍🦳	person_white_hair	person_white_hair
🧑🏻‍🦳	person_tone1_white_hair	person_tone1_white_hair,person_light_skin_tone_white_hair
🧑🏼‍🦳	person_tone2_white_hair	person_tone2_white_hair,person_medium_light_skin_tone_white_hair
🧑🏽‍🦳	person_tone3_white_hair	person_tone3_white_hair,person_medium_skin_tone_white_hair
🧑🏾‍🦳	person_tone4_white_hair	person_tone4_white_hair,person_medium_dark_skin_tone_white_hair
🧑🏿‍🦳	person_tone5_white_hair	person_tone5_white_hair,person_dark_skin_tone_white_hair
👩‍🦲	woman_bald	woman_bald
👩🏻‍🦲	woman_bald_tone1	woman_bald_tone1,woman_bald_light_skin_tone
👩🏼‍🦲	woman_bald_tone2	woman_bald_tone2,woman_bald_medium_light_skin_tone
👩🏽‍🦲	woman_bald_tone3	woman_bald_tone3,woman_bald_medium_skin_tone
👩🏾‍🦲	woman_bald_tone4	woman_bald_tone4,woman_bald_medium_dark_skin_tone
👩🏿‍🦲	woman_bald_tone5	woman_bald_tone5,woman_bald_dark_skin_tone
🧑‍🦲	person_bald	person_bald
🧑🏻‍🦲	person_tone1_bald	person_tone1_bald,person_light_skin_tone_bald
🧑🏼‍🦲	person_tone2_bald	person_tone2_bald,person_medium_light_skin_tone_bald
🧑🏽‍🦲	person_tone3_bald	person_tone3_bald,person_medium_skin_tone_bald
🧑🏾‍🦲	person_tone4_bald	person_tone4_bald,person_medium_dark_skin_tone_bald
🧑🏿‍🦲	person_tone5_bald	person_tone5_bald,person_dark_skin_tone_bald
👱‍♀️	blond_haired_woman	blond_haired_woman
👱🏻‍♀️	blond_haired_woman_tone1	blond_haired_woman_tone1,blond_haired_woman_light_skin_tone
👱🏼‍♀️	blond_haired_woman_tone2	blond_haired_woman_tone2,blond_haired_woman_medium_light_skin_tone
👱🏽‍♀️	blond_haired_woman_tone3	blond_haired_woman_tone3,blond_haired_woman_medium_skin_tone
👱🏾‍♀️	blond_haired_woman_tone4	blond_haired_woman_tone4,blond_haired_woman_medium_dark_skin_tone
👱🏿‍♀️	blond_haired_woman_tone5	blond_haired_woman_tone5,blond_haired_woman_dark_skin_tone
👱‍♂️	blond_haired_man	blond_haired_man
👱🏻‍♂️	blond_haired_man_tone1	blond_haired_man_tone1,blond_haired_man_light_skin_tone
👱🏼‍♂️	blond_haired_man_tone2	blond_haired_man_tone2,blond_haired_man_medium_light_skin_tone
👱🏽‍♂️	blond_haired_man_tone3	blond_haired_man_tone3,blond_haired_man_medium_skin_tone
👱🏾‍♂️	blond_haired_man_tone4	blond_haired_man_tone4,blond_haired_man_medium_dark_skin_tone
👱🏿‍♂️	blond_haired_man_tone5	blond_haired_man_tone5,blond_haired_man_dark_skin_tone
🧓	older_adult	older_adult,older_person
🧓🏻	older_adult_tone1	older_adult_tone1,older_adult_light_skin_tone
🧓🏼	older_adult_tone2	older_adult_tone2,older_adult_medium_light_skin_tone
🧓🏽	older_adult_tone3	older_adult_tone3,older_adult_medium_skin_tone
🧓🏾	older_adult_tone4	older_adult_tone4,older_adult_medium_dark_skin_tone
🧓🏿	older_adult_tone5	older_adult_tone5,older_adult_dark_skin_tone
👴	older_man	older_man,old_man
👴🏻	older_man_tone1	older_man_tone1
👴🏼	older_man_tone2	older_man_tone2
👴🏽	older_man_tone3	older_man_tone3
👴🏾	older_man_tone4	older_man_tone4
👴🏿	older_man_tone5	older_man_tone5
👵	older_woman	older_woman,grandma,old_woman
👵🏻	older_woman_tone1	older_woman_tone1,grandma_tone1
👵🏼	older_woman_tone2	older_woman_tone2,grandma_tone2
👵🏽	older_woman_tone3	older_woman_tone3,grandma_tone3
👵🏾	older_woman_tone4	older_woman_tone4,grandma_tone4
👵🏿	older_woman_tone5	older_woman_tone5,grandma_tone5
🙍	person_frowning	person_frowning
🙍🏻	person_frowning_tone1	person_frowning_tone1
🙍🏼	person_frowning_tone2	person_frowning_tone2
🙍🏽	person_frowning_tone3	person_frowning_tone3
🙍🏾	person_frowning_tone4	person_frowning_tone4
🙍🏿	person_frowning_tone5	person_frowning_tone5
🙍‍♂️	man_frowning	man_frowning
🙍🏻‍♂️	man_frowning_tone1	man_frowning_tone1,man_frowning_light_skin_tone
🙍🏼‍♂️	man_frowning_tone2	man_frowning_tone2,man_frowning_medium_light_skin_tone
🙍🏽‍♂️	man_frowning_tone3	man_frowning_tone3,man_frowning_medium_skin_tone
🙍🏾‍♂️	man_frowning_tone4	man_frowning_tone4,man_frowning_medium_dark_skin_tone
🙍🏿‍♂️	man_frowning_tone5	man_frowning_tone5,man_frowning_dark_skin_tone
🙍‍♀️	woman_frowning	woman_frowning
🙍🏻‍♀️	woman_frowning_tone1	woman_frowning_tone1,woman_frowning_light_skin_tone
🙍🏼‍♀️	woman_frowning_tone2	woman_frowning_tone2,woman_frowning_medium_light_skin_tone
🙍🏽‍♀️	woman_frowning_tone3	woman_frowning_tone3,woman_frowning_medium_skin_tone
🙍🏾‍♀️	woman_frowning_tone4	woman_frowning_tone4,woman_frowning_medium_dark_skin_tone
🙍🏿‍♀️	woman_frowning_tone5	woman_frowning_tone5,woman_frowning_dark_skin_tone
🙎	person_pouting	person_pouting,person_with_pouting_face
🙎🏻	person_pouting_tone1	person_pouting_tone1,person_with_pouting_face_tone1
🙎🏼	person_pouting_tone2	person_pouting_tone2,person_with_pouting_face_tone2
🙎🏽	person_pouting_tone3	person_pouting_tone3,person_with_pouting_face_tone3
🙎🏾	person_pouting_tone4	person_pouting_tone4,person_with_pouting_face_tone4
🙎🏿	person_pouting_tone5	person_pouting_tone5,person_with_pouting_face_tone5
🙎‍♂️	man_pouting	man_pouting
🙎🏻‍♂️	man_pouting_tone1	man_pouting_tone1,man_pouting_light_skin_tone
🙎🏼‍♂️	man_pouting_tone2	man_pouting_tone2,man_pouting_medium_light_skin_tone
🙎🏽‍♂️	man_pouting_tone3	man_pouting_tone3,man_pouting_medium_skin_tone
🙎🏾‍♂️	man_pouting_tone4	man_pouting_tone4,man_pouting_medium_dark_skin_tone
🙎🏿‍♂️	man_pouting_tone5	man_pouting_tone5,man_pouting_dark_skin_tone
🙎‍♀️	woman_pouting	woman_pouting
🙎🏻‍♀️	woman_pouting_tone1	woman_pouting_tone1,woman_pouting_light_skin_tone
🙎🏼‍♀️	woman_pouting_tone2	woman_pouting_tone2,woman_pouting_medium_light_skin_tone
🙎🏽‍♀️	woman_pouting_tone3	woman_pouting_tone3,woman_pouting_medium_skin_tone
🙎🏾‍♀️	woman_pouting_tone4	woman_pouting_tone4,woman_pouting_medium_dark_skin_tone
🙎🏿‍♀️	woman_pouting_tone5	woman_pouting_tone5,woman_pouting_dark_skin_tone
