😀	grinning	grinning,grinning_face
👩🏼‍❤️‍👨🏼	couple_with_heart_woman_man_tone2	couple_with_heart_woman_man_tone2,couple_with_heart_woman_man_medium_light_skin_tone
👩🏼‍❤️‍👨🏽	couple_with_heart_woman_man_tone2_tone3	couple_with_heart_woman_man_tone2_tone3,couple_with_heart_woman_man_medium_light_skin_tone_medium_skin_tone
👩🏼‍❤️‍👨🏾	couple_with_heart_woman_man_tone2_tone4	couple_with_heart_woman_man_tone2_tone4,couple_with_heart_woman_man_medium_light_skin_tone_medium_dark_skin_tone
👩🏼‍❤️‍👨🏿	couple_with_heart_woman_man_tone2_tone5	couple_with_heart_woman_man_tone2_tone5,couple_with_heart_woman_man_medium_light_skin_tone_dark_skin_tone
👩🏽‍❤️‍👨🏻	couple_with_heart_woman_man_tone3_tone1	couple_with_heart_woman_man_tone3_tone1,couple_with_heart_woman_man_medium_skin_tone_light_skin_tone
👩🏽‍❤️‍👨🏼	couple_with_heart_woman_man_tone3_tone2	couple_with_heart_woman_man_tone3_tone2,couple_with_heart_woman_man_medium_skin_tone_medium_light_skin_tone
👩🏽‍❤️‍👨🏽	couple_with_heart_woman_man_tone3	couple_with_heart_woman_man_tone3,couple_with_heart_woman_man_medium_skin_tone
👩🏽‍❤️‍👨🏾	couple_with_heart_woman_man_tone3_tone4	couple_with_heart_woman_man_tone3_tone4,couple_with_heart_woman_man_medium_skin_tone_medium_dark_skin_tone
👩🏽‍❤️‍👨🏿	couple_with_heart_woman_man_tone3_tone5	couple_with_heart_woman_man_tone3_tone5,couple_with_heart_woman_man_medium_skin_tone_dark_skin_tone
👩🏾‍❤️‍👨🏻	couple_with_heart_woman_man_tone4_tone1	couple_with_heart_woman_man_tone4_tone1,couple_with_heart_woman_man_medium_dark_skin_tone_light_skin_tone
👩🏾‍❤️‍👨🏼	couple_with_heart_woman_man_tone4_tone2	couple_with_heart_woman_man_tone4_tone2,couple_with_heart_woman_man_medium_dark_skin_tone_medium_light_skin_tone
👩🏾‍❤️‍👨🏽	couple_with_heart_woman_man_tone4_tone3	couple_with_heart_woman_man_tone4_tone3,couple_with_heart_woman_man_medium_dark_skin_tone_medium_skin_tone
👩🏾‍❤️‍👨🏾	couple_with_heart_woman_man_tone4	couple_with_heart_woman_man_tone4,couple_with_heart_woman_man_medium_dark_skin_tone
👩🏾‍❤️‍👨🏿	couple_with_heart_woman_man_tone4_tone5	couple_with_heart_woman_man_tone4_tone5,couple_with_heart_woman_man_medium_dark_skin_tone_dark_skin_tone
👩🏿‍❤️‍👨🏻	couple_with_heart_woman_man_tone5_tone1	couple_with_heart_woman_man_tone5_tone1,couple_with_heart_woman_man_dark_skin_tone_light_skin_tone
👩🏿‍❤️‍👨🏼	couple_with_heart_woman_man_tone5_tone2	couple_with_heart_woman_man_tone5_tone2,couple_with_heart_woman_man_dark_skin_tone_medium_light_skin_tone
👩🏿‍❤️‍👨🏽	couple_with_heart_woman_man_tone5_tone3	couple_with_heart_woman_man_tone5_tone3,couple_with_heart_woman_man_dark_skin_tone_medium_skin_tone
👩🏿‍❤️‍👨🏾	couple_with_heart_woman_man_tone5_tone4	couple_with_heart_woman_man_tone5_tone4,couple_with_heart_woman_man_dark_skin_tone_medium_dark_skin_tone
👩🏿‍❤️‍👨🏿	couple_with_heart_woman_man_tone5	couple_with_heart_woman_man_tone5,couple_with_heart_woman_man_dark_skin_tone
👨‍❤️‍👨	couple_mm	couple_mm,couple_with_heart_mm
👨🏻‍❤️‍👨🏻	couple_with_heart_man_man_tone1	couple_with_heart_man_man_tone1,couple_with_heart_man_man_light_skin_tone
👨🏻‍❤️‍👨🏼	couple_with_heart_man_man_tone1_tone2	couple_with_heart_man_man_tone1_tone2,couple_with_heart_man_man_light_skin_tone_medium_light_skin_tone
👨🏻‍❤️‍👨🏽	couple_with_heart_man_man_tone1_tone3	couple_with_heart_man_man_tone1_tone3,couple_with_heart_man_man_light_skin_tone_medium_skin_tone
👨🏻‍❤️‍👨🏾	couple_with_heart_man_man_tone1_tone4	couple_with_heart_man_man_tone1_tone4,couple_with_heart_man_man_light_skin_tone_medium_dark_skin_tone
👨🏻‍❤️‍👨🏿	couple_with_heart_man_man_tone1_tone5	couple_with_heart_man_man_tone1_tone5,couple_with_heart_man_man_light_skin_tone_dark_skin_tone
👨🏼‍❤️‍👨🏻	couple_with_heart_man_man_tone2_tone1	couple_with_heart_man_man_tone2_tone1,couple_with_heart_man_man_medium_light_skin_tone_light_skin_tone
👨🏼‍❤️‍👨🏼	couple_with_heart_man_man_tone2	couple_with_heart_man_man_tone2,couple_with_heart_man_man_medium_light_skin_tone
👨🏼‍❤️‍👨🏽	couple_with_heart_man_man_tone2_tone3	couple_with_heart_man_man_tone2_tone3,couple_with_heart_man_man_medium_light_skin_tone_medium_skin_tone
👨🏼‍❤️‍👨🏾	couple_with_heart_man_man_tone2_tone4	couple_with_heart_man_man_tone2_tone4,couple_with_heart_man_man_medium_light_skin_tone_medium_dark_skin_tone
👨🏼‍❤️‍👨🏿	couple_with_heart_man_man_tone2_tone5	couple_with_heart_man_man_tone2_tone5,couple_with_heart_man_man_medium_light_skin_tone_dark_skin_tone
👨🏽‍❤️‍👨🏻	couple_with_heart_man_man_tone3_tone1	couple_with_heart_man_man_tone3_tone1,couple_with_heart_man_man_medium_skin_tone_light_skin_tone
👨🏽‍❤️‍👨🏼	couple_with_heart_man_man_tone3_tone2	couple_with_heart_man_man_tone3_tone2,couple_with_heart_man_man_medium_skin_tone_medium_light_skin_tone
👨🏽‍❤️‍👨🏽	couple_with_heart_man_man_tone3	couple_with_heart_man_man_tone3,couple_with_heart_man_man_medium_skin_tone
👨🏽‍❤️‍👨🏾	couple_with_heart_man_man_tone3_tone4	couple_with_heart_man_man_tone3_tone4,couple_with_heart_man_man_medium_skin_tone_medium_dark_skin_tone
👨🏽‍❤️‍👨🏿	couple_with_heart_man_man_tone3_tone5	couple_with_heart_man_man_tone3_tone5,couple_with_heart_man_man_medium_skin_tone_dark_skin_tone
👨🏾‍❤️‍👨🏻	couple_with_heart_man_man_tone4_tone1	couple_with_heart_man_man_tone4_tone1,couple_with_heart_man_man_medium_dark_skin_tone_light_skin_tone
👨🏾‍❤️‍👨🏼	couple_with_heart_man_man_tone4_tone2	couple_with_heart_man_man_tone4_tone2,couple_with_heart_man_man_medium_dark_skin_tone_medium_light_skin_tone
👨🏾‍❤️‍👨🏽	couple_with_heart_man_man_tone4_tone3	couple_with_heart_man_man_tone4_tone3,couple_with_heart_man_man_medium_dark_skin_tone_medium_skin_tone
👨🏾‍❤️‍👨🏾	couple_with_heart_man_man_tone4	couple_with_heart_man_man_tone4,couple_with_heart_man_man_medium_dark_skin_tone
👨🏾‍❤️‍👨🏿	couple_with_heart_man_man_tone4_tone5	couple_with_heart_man_man_tone4_tone5,couple_with_heart_man_man_medium_dark_skin_tone_dark_skin_tone
👨🏿‍❤️‍👨🏻	couple_with_heart_man_man_tone5_tone1	couple_with_heart_man_man_tone5_tone1,couple_with_heart_man_man_dark_skin_tone_light_skin_tone
👨🏿‍❤️‍👨🏼	couple_with_heart_man_man_tone5_tone2	couple_with_heart_man_man_tone5_tone2,couple_with_heart_man_man_dark_skin_tone_medium_light_skin_tone
👨🏿‍❤️‍👨🏽	couple_with_heart_man_man_tone5_tone3	couple_with_heart_man_man_tone5_tone3,couple_with_heart_man_man_dark_skin_tone_medium_skin_tone
👨🏿‍❤️‍👨🏾	couple_with_heart_man_man_tone5_tone4	couple_with_heart_man_man_tone5_tone4,couple_with_heart_man_man_dark_skin_tone_medium_dark_skin_tone
👨🏿‍❤️‍👨🏿	couple_with_heart_man_man_tone5	couple_with_heart_man_man_tone5,couple_with_heart_man_man_dark_skin_tone
👩‍❤️‍👩	couple_ww	couple_ww,couple_with_heart_ww
👩🏻‍❤️‍👩🏻	couple_with_heart_woman_woman_tone1	couple_with_heart_woman_woman_tone1,couple_with_heart_woman_woman_light_skin_tone
👩🏻‍❤️‍👩🏼	couple_with_heart_woman_woman_tone1_tone2	couple_with_heart_woman_woman_tone1_tone2,couple_with_heart_woman_woman_light_skin_tone_medium_light_skin_tone
👩🏻‍❤️‍👩🏽	couple_with_heart_woman_woman_tone1_tone3	couple_with_heart_woman_woman_tone1_tone3,couple_with_heart_woman_woman_light_skin_tone_medium_skin_tone
👩🏻‍❤️‍👩🏾	couple_with_heart_woman_woman_tone1_tone4	couple_with_heart_woman_woman_tone1_tone4,couple_with_heart_woman_woman_light_skin_tone_medium_dark_skin_tone
👩🏻‍❤️‍👩🏿	couple_with_heart_woman_woman_tone1_tone5	couple_with_heart_woman_woman_tone1_tone5,couple_with_heart_woman_woman_light_skin_tone_dark_skin_tone
👩🏼‍❤️‍👩🏻	couple_with_heart_woman_woman_tone2_tone1	couple_with_heart_woman_woman_tone2_tone1,couple_with_heart_woman_woman_medium_light_skin_tone_light_skin_tone
👩🏼‍❤️‍👩🏼	couple_with_heart_woman_woman_tone2	couple_with_heart_woman_woman_tone2,couple_with_heart_woman_woman_medium_light_skin_tone
👩🏼‍❤️‍👩🏽	couple_with_heart_woman_woman_tone2_tone3	couple_with_heart_woman_woman_tone2_tone3,couple_with_heart_woman_woman_medium_light_skin_tone_medium_skin_tone
👩🏼‍❤️‍👩🏾	couple_with_heart_woman_woman_tone2_tone4	couple_with_heart_woman_woman_tone2_tone4,couple_with_heart_woman_woman_medium_light_skin_tone_medium_dark_skin_tone
👩🏼‍❤️‍👩🏿	couple_with_heart_woman_woman_tone2_tone5	couple_with_heart_woman_woman_tone2_tone5,couple_with_heart_woman_woman_medium_light_skin_tone_dark_skin_tone
👩🏽‍❤️‍👩🏻	couple_with_heart_woman_woman_tone3_tone1	couple_with_heart_woman_woman_tone3_tone1,couple_with_heart_woman_woman_medium_skin_tone_light_skin_tone
👩🏽‍❤️‍👩🏼	couple_with_heart_woman_woman_tone3_tone2	couple_with_heart_woman_woman_tone3_tone2,couple_with_heart_woman_woman_medium_skin_tone_medium_light_skin_tone
👩🏽‍❤️‍👩🏽	couple_with_heart_woman_woman_tone3	couple_with_heart_woman_woman_tone3,couple_with_heart_woman_woman_medium_skin_tone
👩🏽‍❤️‍👩🏾	couple_with_heart_woman_woman_tone3_tone4	couple_with_heart_woman_woman_tone3_tone4,couple_with_heart_woman_woman_medium_skin_tone_medium_dark_skin_tone
👩🏽‍❤️‍👩🏿	couple_with_heart_woman_woman_tone3_tone5	couple_with_heart_woman_woman_tone3_tone5,couple_with_heart_woman_woman_medium_skin_tone_dark_skin_tone
👩🏾‍❤️‍👩🏻	couple_with_heart_woman_woman_tone4_tone1	couple_with_heart_woman_woman_tone4_tone1,couple_with_heart_woman_woman_medium_dark_skin_tone_light_skin_tone
👩🏾‍❤️‍👩🏼	couple_with_heart_woman_woman_tone4_tone2	couple_with_heart_woman_woman_tone4_tone2,couple_with_heart_woman_woman_medium_dark_skin_tone_medium_light_skin_tone
👩🏾‍❤️‍👩🏽	couple_with_heart_woman_woman_tone4_tone3	couple_with_heart_woman_woman_tone4_tone3,couple_with_heart_woman_woman_medium_dark_skin_tone_medium_skin_tone
👩🏾‍❤️‍👩🏾	couple_with_heart_woman_woman_tone4	couple_with_heart_woman_woman_tone4,couple_with_heart_woman_woman_medium_dark_skin_tone
👩🏾‍❤️‍👩🏿	couple_with_heart_woman_woman_tone4_tone5	couple_with_heart_woman_woman_tone4_tone5,couple_with_heart_woman_woman_medium_dark_skin_tone_dark_skin_tone
👩🏿‍❤️‍👩🏻	couple_with_heart_woman_woman_tone5_tone1	couple_with_heart_woman_woman_tone5_tone1,couple_with_heart_woman_woman_dark_skin_tone_light_skin_tone
👩🏿‍❤️‍👩🏼	couple_with_heart_woman_woman_tone5_tone2	couple_with_heart_woman_woman_tone5_tone2,couple_with_heart_woman_woman_dark_skin_tone_medium_light_skin_tone
👩🏿‍❤️‍👩🏽	couple_with_heart_woman_woman_tone5_tone3	couple_with_heart_woman_woman_tone5_tone3,couple_with_heart_woman_woman_dark_skin_tone_medium_skin_tone
👩🏿‍❤️‍👩🏾	couple_with_heart_woman_woman_tone5_tone4	couple_with_heart_woman_woman_tone5_tone4,couple_with_heart_woman_woman_dark_skin_tone_medium_dark_skin_tone
👩🏿‍❤️‍👩🏿	couple_with_heart_woman_woman_tone5	couple_with_heart_woman_woman_tone5,couple_with_heart_woman_woman_dark_skin_tone
👨‍👩‍👦	family_man_woman_boy	family_man_woman_boy
👨‍👩‍👧	family_mwg	family_mwg
👨‍👩‍👧‍👦	family_mwgb	family_mwgb
👨‍👩‍👦‍👦	family_mwbb	family_mwbb
👨‍👩‍👧‍👧	family_mwgg	family_mwgg
👨‍👨‍👦	family_mmb	family_mmb
👨‍👨‍👧	family_mmg	family_mmg
👨‍👨‍👧‍👦	family_mmgb	family_mmgb
👨‍👨‍👦‍👦	family_mmbb	family_mmbb
👨‍👨‍👧‍👧	family_mmgg	family_mmgg
👩‍👩‍👦	family_wwb	family_wwb
👩‍👩‍👧	family_wwg	family_wwg
👩‍👩‍👧‍👦	family_wwgb	family_wwgb
👩‍👩‍👦‍👦	family_wwbb	family_wwbb
👩‍👩‍👧‍👧	family_wwgg	family_wwgg
👨‍👦	family_man_boy	family_man_boy
👨‍👦‍👦	family_man_boy_boy	family_man_boy_boy
👨‍👧	family_man_girl	family_man_girl
👨‍👧‍👦	family_man_girl_boy	family_man_girl_boy
👨‍👧‍👧	family_man_girl_girl	family_man_girl_girl
👩‍👦	family_woman_boy	family_woman_boy
👩‍👦‍👦	family_woman_boy_boy	family_woman_boy_boy
👩‍👧	family_woman_girl	family_woman_girl
👩‍👧‍👦	family_woman_girl_boy	family_woman_girl_boy
👩‍👧‍👧	family_woman_girl_girl	family_woman_girl_girl
🗣️	speaking_head	speaking_head,speaking_head_in_silhouette
👤	bust_in_silhouette	bust_in_silhouette
👥	busts_in_silhouette	busts_in_silhouette
🫂	people_hugging	people_hugging
👪	family	family
🧑‍🧑‍🧒	family_adult_adult_child	family_adult_adult_child
🧑‍🧑‍🧒‍🧒	family_adult_adult_child_child	family_adult_adult_child_child
🧑‍🧒	family_adult_child	family_adult_child
🧑‍🧒‍🧒	family_adult_child_child	family_adult_child_child
👣	footprints	footprints
🫆	fingerprint	fingerprint
🏻	light_skin_tone	light_skin_tone
🏼	medium_light_skin_tone	medium_light_skin_tone
🏽	medium_skin_tone	medium_skin_tone
🏾	medium_dark_skin_tone	medium_dark_skin_tone
🏿	dark_skin_tone	dark_skin_tone
🦰	red_hair	red_hair
🦱	curly_hair	curly_hair
🦳	white_hair	white_hair
🦲	bald	bald
🐵	monkey_face	monkey_face
🐒	monkey	monkey
🦍	gorilla	gorilla
🦧	orangutan	orangutan
🐶	dog	dog,dog_face
🐕	dog2	dog2
🦮	guide_dog	guide_dog
🐕‍🦺	service_dog	service_dog
🐩	poodle	poodle
🐺	wolf	wolf
🦊	fox	fox,fox_face
🦝	raccoon	raccoon
🐱	cat	cat,cat_face
🐈	cat2	cat2
🐈‍⬛	black_cat	black_cat
🦁	lion_face	lion_face,lion
🐯	tiger	tiger,tiger_face
🐅	tiger2	tiger2
🐆	leopard	leopard
🐴	horse	horse,horse_face
🫎	moose	moose
🫏	donkey	donkey
🐎	racehorse	racehorse
🦄	unicorn	unicorn,unicorn_face
🦓	zebra	zebra
🦌	deer	deer
🦬	bison	bison
🐮	cow	cow,cow_face
🐂	ox	ox
🐃	water_buffalo	water_buffalo
🐄	cow2	cow2
🐷	pig	pig,pig_face
🐖	pig2	pig2
🐗	boar	boar
🐽	pig_nose	pig_nose
🐏	ram	ram
🐑	sheep	sheep,ewe
🐐	goat	goat
🐪	dromedary_camel	dromedary_camel
🐫	camel	camel
🦙	llama	llama
🦒	giraffe	giraffe
🐘	elephant	elephant
🦣	mammoth	mammoth
🦏	rhino	rhino,rhinoceros
🦛	hippopotamus	hippopotamus
🐭	mouse	mouse,mouse_face
🐁	mouse2	mouse2
🐀	rat	rat
🐹	hamster	hamster
🐰	rabbit	rabbit,rabbit_face
🐇	rabbit2	rabbit2
🐿️	chipmunk	chipmunk
🦫	beaver	beaver
🦔	hedgehog	hedgehog
🦇	bat	bat
🐻	bear	bear
🐻‍❄️	polar_bear	polar_bear
🐨	koala	koala
🐼	panda_face	panda_face,panda
🦥	sloth	sloth
🦦	otter	otter
🦨	skunk	skunk
🦘	kangaroo	kangaroo
🦡	badger	badger
🐾	feet	feet,paw_prints
🦃	turkey	turkey
🐔	chicken	chicken
🐓	rooster	rooster
🐣	hatching_chick	hatching_chick
🐤	baby_chick	baby_chick
🐥	hatched_chick	hatched_chick
🐦	bird	bird
🐧	penguin	penguin
🕊️	dove	dove,dove_of_peace
🦅	eagle	eagle
🦆	duck	duck
🦢	swan	swan
🦉	owl	owl
🦤	dodo	dodo
🪶	feather	feather
🦩	flamingo	flamingo
🦚	peacock	peacock
🦜	parrot	parrot
🪽	wing	wing
🐦‍⬛	black_bird	black_bird
🪿	goose	goose
🐦‍🔥	phoenix	phoenix
🐸	frog	frog
🐊	crocodile	crocodile
🐢	turtle	turtle
🦎	lizard	lizard
🐍	snake	snake
🐲	dragon_face	dragon_face
🐉	dragon	dragon
🦕	sauropod	sauropod
🦖	t_rex	t_rex
🐳	whale	whale
🐋	whale2	whale2
🐬	dolphin	dolphin
🫍	orca	orca
🦭	seal	seal
🐟	fish	fish
🐠	tropical_fish	tropical_fish
🐡	blowfish	blowfish
🦈	shark	shark
🐙	octopus	octopus
🐚	shell	shell,spiral_shell
🪸	coral	coral
🪼	jellyfish	jellyfish
🦀	crab	crab
🦞	lobster	lobster
🦐	shrimp	shrimp
🦑	squid	squid
🦪	oyster	oyster
🐌	snail	snail
🦋	butterfly	butterfly
🐛	bug	bug
🐜	ant	ant
🐝	bee	bee,honeybee
🪲	beetle	beetle
🐞	lady_beetle	lady_beetle
🦗	cricket	cricket
🪳	cockroach	cockroach
🕷️	spider	spider
🕸️	spider_web	spider_web
🦂	scorpion	scorpion
🦟	mosquito	mosquito
🪰	fly	fly
🪱	worm	worm
🦠	microbe	microbe
💐	bouquet	bouquet
🌸	cherry_blossom	cherry_blossom
💮	white_flower	white_flower
🪷	lotus	lotus
🏵️	rosette	rosette
🌹	rose	rose
🥀	wilted_rose	wilted_rose,wilted_flower
🌺	hibiscus	hibiscus
🌻	sunflower	sunflower
🌼	blossom	blossom
🌷	tulip	tulip
🪻	hyacinth	hyacinth
🌱	seedling	seedling
🪴	potted_plant	potted_plant
🌲	evergreen_tree	evergreen_tree
🌳	deciduous_tree	deciduous_tree
🌴	palm_tree	palm_tree
🌵	cactus	cactus
🌾	ear_of_rice	ear_of_rice,sheaf_of_rice
🌿	herb	herb
☘️	shamrock	shamrock
🍀	four_leaf_clover	four_leaf_clover
🍁	maple_leaf	maple_leaf
🍂	fallen_leaf	fallen_leaf
🍃	leaves	leaves
🪹	empty_nest	empty_nest
🪺	nest_with_eggs	nest_with_eggs
🍄	mushroom	mushroom
🪾	leafless_tree	leafless_tree
🍇	grapes	grapes
🍈	melon	melon
🍉	watermelon	watermelon
🍊	tangerine	tangerine
🍋	lemon	lemon
🍋‍🟩	lime	lime
🍌	banana	banana
🍍	pineapple	pineapple
🥭	mango	mango
🍎	apple	apple,red_apple
🍏	green_apple	green_apple
🍐	pear	pear
🍑	peach	peach
🍒	cherries	cherries
🍓	strawberry	strawberry
🫐	blueberries	blueberries
🥝	kiwi	kiwi,kiwifruit,kiwi_fruit
🍅	tomato	tomato
🫒	olive	olive
🥥	coconut	coconut
🥑	avocado	avocado
🍆	eggplant	eggplant
🥔	potato	potato
🥕	carrot	carrot
🌽	corn	corn,ear_of_corn
🌶️	hot_pepper	hot_pepper
🫑	bell_pepper	bell_pepper
🥒	cucumber	cucumber
🥬	leafy_green	leafy_green
🥦	broccoli	broccoli
🧄	garlic	garlic
🧅	onion	onion
🥜	peanuts	peanuts,shelled_peanut
🫘	beans	beans
🌰	chestnut	chestnut
🫚	ginger_root	ginger_root
🫛	pea_pod	pea_pod
🍄‍🟫	brown_mushroom	brown_mushroom
🫜	root_vegetable	root_vegetable
🍞	bread	bread
🥐	croissant	croissant
🥖	french_bread	french_bread,baguette_bread
🫓	flatbread	flatbread
🥨	pretzel	pretzel
🥯	bagel	bagel
🥞	pancakes	pancakes
🧇	waffle	waffle
🧀	cheese	cheese,cheese_wedge
🍖	meat_on_bone	meat_on_bone
🍗	poultry_leg	poultry_leg
🥩	cut_of_meat	cut_of_meat
🥓	bacon	bacon
🍔	hamburger	hamburger
🍟	fries	fries,french_fries
🍕	pizza	pizza
🌭	hotdog	hotdog,hot_dog
🥪	sandwich	sandwich
🌮	taco	taco
🌯	burrito	burrito
🫔	tamale	tamale
🥙	stuffed_flatbread	stuffed_flatbread,stuffed_pita
🧆	falafel	falafel
🥚	egg	egg
🍳	cooking	cooking
🥘	shallow_pan_of_food	shallow_pan_of_food,paella
🍲	stew	stew,pot_of_food
🫕	fondue	fondue
🥣	bowl_with_spoon	bowl_with_spoon
🥗	salad	salad,green_salad
🍿	popcorn	popcorn
🧈	butter	butter
🧂	salt	salt
🥫	canned_food	canned_food
🍱	bento	bento,bento_box
🍘	rice_cracker	rice_cracker
🍙	rice_ball	rice_ball
🍚	rice	rice,cooked_rice
🍛	curry	curry,curry_rice
🍜	ramen	ramen,steaming_bowl
🍝	spaghetti	spaghetti
🍠	sweet_potato	sweet_potato
🍢	oden	oden
🍣	sushi	sushi
🍤	fried_shrimp	fried_shrimp
🍥	fish_cake	fish_cake
🥮	moon_cake	moon_cake
🍡	dango	dango
🥟	dumpling	dumpling
🥠	fortune_cookie	fortune_cookie
🥡	takeout_box	takeout_box
🍦	icecream	icecream
🍧	shaved_ice	shaved_ice
🍨	ice_cream	ice_cream
🍩	doughnut	doughnut
🍪	cookie	cookie
🎂	birthday	birthday,birthday_cake
🍰	cake	cake,shortcake
🧁	cupcake	cupcake
🥧	pie	pie
🍫	chocolate_bar	chocolate_bar
🍬	candy	candy
🍭	lollipop	lollipop
🍮	custard	custard,pudding,flan
🍯	honey_pot	honey_pot
🍼	baby_bottle	baby_bottle
🥛	milk	milk,glass_of_milk
☕	coffee	coffee,hot_beverage
🫖	teapot	teapot
🍵	tea	tea
🍶	sake	sake
🍾	champagne	champagne,bottle_with_popping_cork
🍷	wine_glass	wine_glass
🍸	cocktail	cocktail
🍹	tropical_drink	tropical_drink
🍺	beer	beer,beer_mug
🍻	beers	beers
🥂	champagne_glass	champagne_glass,clinking_glass
🥃	tumbler_glass	tumbler_glass,whisky
🫗	pouring_liquid	pouring_liquid
🥤	cup_with_straw	cup_with_straw
🧋	bubble_tea	bubble_tea
🧃	beverage_box	beverage_box
🧉	mate	mate
🧊	ice_cube	ice_cube
🥢	chopsticks	chopsticks
🍽️	fork_knife_plate	fork_knife_plate,fork_and_knife_with_plate
🍴	fork_and_knife	fork_and_knife
🥄	spoon	spoon
🔪	knife	knife,kitchen_knife
🫙	jar	jar
🏺	amphora	amphora
🌍	earth_africa	earth_africa
🌎	earth_americas	earth_americas
🌏	earth_asia	earth_asia
🌐	globe_with_meridians	globe_with_meridians
🗺️	map	map,world_map
🗾	japan	japan,map_of_japan
🧭	compass	compass
🏔️	mountain_snow	mountain_snow,snow_capped_mountain
⛰️	mountain	mountain
🛘	landslide	landslide
🌋	volcano	volcano
🗻	mount_fuji	mount_fuji
🏕️	camping	camping
🏖️	beach	beach,beach_with_umbrella
🏜️	desert	desert
🏝️	island	island,desert_island
🏞️	park	park,national_park
🏟️	stadium	stadium
🏛️	classical_building	classical_building
🏗️	construction_site	construction_site,building_construction
🧱	bricks	bricks,brick
🪨	rock	rock
🪵	wood	wood
🛖	hut	hut
🏘️	homes	homes,house_buildings,houses
🏚️	house_abandoned	house_abandoned,derelict_house_building
🏠	house	house
🏡	house_with_garden	house_with_garden
🏢	office	office
🏣	post_office	post_office
🏤	european_post_office	european_post_office
🏥	hospital	hospital
🏦	bank	bank
🏨	hotel	hotel
🏩	love_hotel	love_hotel
🏪	convenience_store	convenience_store
🏫	school	school
🏬	department_store	department_store
🏭	factory	factory
🏯	japanese_castle	japanese_castle
🏰	european_castle	european_castle,castle
💒	wedding	wedding
🗼	tokyo_tower	tokyo_tower
🗽	statue_of_liberty	statue_of_liberty
⛪	church	church
🕌	mosque	mosque
🛕	hindu_temple	hindu_temple
🕍	synagogue	synagogue
⛩️	shinto_shrine	shinto_shrine
🕋	kaaba	kaaba
⛲	fountain	fountain
⛺	tent	tent
🌁	foggy	foggy
🌃	night_with_stars	night_with_stars
🏙️	cityscape	cityscape
🌄	sunrise_over_mountains	sunrise_over_mountains
🌅	sunrise	sunrise
🌆	city_dusk	city_dusk
🌇	city_sunset	city_sunset,city_sunrise,sunset
🌉	bridge_at_night	bridge_at_night
♨️	hotsprings	hotsprings,hot_springs
🎠	carousel_horse	carousel_horse
🛝	playground_slide	playground_slide
🎡	ferris_wheel	ferris_wheel
🎢	roller_coaster	roller_coaster
💈	barber	barber,barber_pole
🎪	circus_tent	circus_tent
🚂	steam_locomotive	steam_locomotive,locomotive
🚃	railway_car	railway_car
🚄	bullettrain_side	bullettrain_side
🚅	bullettrain_front	bullettrain_front,bullet_train
🚆	train2	train2
🚇	metro	metro
🚈	light_rail	light_rail
🚉	station	station
🚊	tram	tram
🚝	monorail	monorail
🚞	mountain_railway	mountain_railway
🚋	train	train,tram_car
🚌	bus	bus
🚍	oncoming_bus	oncoming_bus
🚎	trolleybus	trolleybus
🚐	minibus	minibus
🚑	ambulance	ambulance
🚒	fire_engine	fire_engine
🚓	police_car	police_car
🚔	oncoming_police_car	oncoming_police_car
🚕	taxi	taxi
🚖	oncoming_taxi	oncoming_taxi
🚗	red_car	red_car,automobile
🚘	oncoming_automobile	oncoming_automobile
🚙	blue_car	blue_car
🛻	pickup_truck	pickup_truck
🚚	truck	truck
🚛	articulated_lorry	articulated_lorry
🚜	tractor	tractor
🏎️	race_car	race_car,racing_car
🏍️	motorcycle	motorcycle,racing_motorcycle
🛵	motor_scooter	motor_scooter,motorbike
🦽	manual_wheelchair	manual_wheelchair
🦼	motorized_wheelchair	motorized_wheelchair
🛺	auto_rickshaw	auto_rickshaw
🚲	bike	bike,bicycle
🛴	scooter	scooter,kick_scooter
🛹	skateboard	skateboard
🛼	roller_skate	roller_skate
🚏	busstop	busstop,bus_stop
🛣️	motorway	motorway
🛤️	railway_track	railway_track,railroad_track
🛢️	oil	oil,oil_drum
⛽	fuelpump	fuelpump,fuel_pump
🛞	wheel	wheel
🚨	rotating_light	rotating_light
🚥	traffic_light	traffic_light
🚦	vertical_traffic_light	vertical_traffic_light
🛑	octagonal_sign	octagonal_sign,stop_sign
🚧	construction	construction
⚓	anchor	anchor
🛟	ring_buoy	ring_buoy
⛵	sailboat	sailboat
🛶	canoe	canoe,kayak
🚤	speedboat	speedboat
🛳️	cruise_ship	cruise_ship,passenger_ship
⛴️	ferry	ferry
🛥️	motorboat	motorboat,motor_boat
🚢	ship	ship
✈️	airplane	airplane
🛩️	airplane_small	airplane_small,small_airplane
🛫	airplane_departure	airplane_departure
🛬	airplane_arriving	airplane_arriving
🪂	parachute	parachute
💺	seat	seat
🚁	helicopter	helicopter
🚟	suspension_railway	suspension_railway
🚠	mountain_cableway	mountain_cableway
🚡	aerial_tramway	aerial_tramway
🛰️	satellite_orbital	satellite_orbital
🚀	rocket	rocket
🛸	flying_saucer	flying_saucer
🛎️	bellhop	bellhop,bellhop_bell
🧳	luggage	luggage
⌛	hourglass	hourglass
⏳	hourglass_flowing_sand	hourglass_flowing_sand
⌚	watch	watch
⏰	alarm_clock	alarm_clock
⏱️	stopwatch	stopwatch
⏲️	timer	timer,timer_clock
🕰️	clock	clock,mantlepiece_clock
🕛	clock12	clock12,twelve_oclock
